Name,IATA,ICAO,Callsign,Country,Active
Carga Express Internacional,,EST,CARGAINTER,Mexico,N
Cargo 360,GG,GGC,LONG-HAUL,United States,N
Cargo Express,,MCX,MAURICARGO,Mauritania,N
Cargo Ivoire,,CRV,CARGOIV,Ivory Coast,N
Cargo Link (Caribbean),,CLM,CARGO LINK,Barbados,N
Cargo Three,,CTW,THIRD CARGO,Panama,N
Cargoitalia,2G,CRG,WHITE PELICAN,Italy,N
Cargojet Airways,W8,CJT,CARGOJET,Canada,N
Cargolux,CV,CLX,CARGOLUX,Luxembourg,N
Cargoman,,CGM,HOTEL CHARLIE,Oman,N
Carib Aviation,,DEL,RED TAIL,Antigua and Barbuda,N
Carib Express,,BCB,WAVEBIRD,Barbados,N
Caribair,,CBC,CARIBAIR,Dominican Republic,N
Caribbean Air Cargo,,DCC,CARICARGO,Barbados,N
Caribbean Air Transport,,CLT,CARIBBEAN,Netherlands,N
Caribbean Airlines,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
Caribbean Airways,,IQQ,CARIBJET,Barbados,N
Caribbean Express,,TLC,CARIB-X,United States,N
Caribbean Star Airlines,8B,GFI,CARIB STAR,Antigua and Barbuda,N
Caribintair,,CRT,CARIBINTAIR,Haiti,N
Carill Aviation,,CVG,CARILL,United Kingdom,N
Carpatair,V3,KRP,CARPATAIR,Romania,Y
Carranza,,CRR,CARRANZA,Chile,N
Carroll Air Service,,ULS,ULSTER,United States,N
Casement Aviation,,CMT,CASEMENT,United States,N
Casino Airline,,CSO,CASAIR,United States,N
Casper Air Service,,CSP,CASPER AIR,United States,N
Caspian Airlines,RV,CPN,CASPIAN,Iran,Y
Castle Aviation,,CSJ,CASTLE,United States,N
Cat Aviation,,CAZ,EUROCAT,Switzerland,N
Catalina Flying Boats,,CBT,CATALINA AIR,United States,N
Catex,,TEX,CATEX,France,N
Cathay Pacific,CX,CPA,CATHAY,Hong Kong SAR of China,Y
Caverton Helicopters,,CJR,CAVERTON AIR,Nigeria,N
Cayman Airways,KX,CAY,CAYMAN,Cayman Islands,Y
Cebu Pacific,5J,CEB,CEBU AIR,Philippines,Y
Cecil Aviation,,CIL,CECIL,United Kingdom,N
Cega Aviation,,CEG,CEGA,United Kingdom,N
Celtic Airways,,CEC,CELTAIR,United Kingdom,N
Celtic West,,CWE,CELTIC,United Kingdom,N
Centavia,7N,CNA,,Serbia,N
Cente D'Essais En Vol,,CEV,CENTEV,France,N
Centennial Airlines,,CNL,WYO-AIR,United States,N
Centennial Flight Centre,,CNS,CENTENNIAL,Canada,N
Center Vol,,CVO,CENTERVOL,Spain,N
Center-South,,CTS,CENTER-SOUTH,Russia,N
Centrafrican Airlines,,CET,CENTRAFRICAIN,Central African Republic,N
Central Air Express,,CAX,CENTRAL EXPRESS,Democratic Republic of Congo,N
Central Airlines,,CTL,CENTRAL COMMUTER,United States,N
Central Airways,,CNY,CENTRAL LEONE,Sierra Leone,N
Central American Airlines,,ACN,AEROCENTRO,Nicaragua,N
Central Aviation,,YOG,YOGAN AIR,United States,N
Central Connect Airlines,,CCG,,Czech Republic,Y
Central De Discos De Reynosa,,DRN,DISCOS REYNOSA,Mexico,N
Central European Airlines,,CMA,EUROCENTRAL,Czech Republic,N
Central Flying Service,,CHA,CHARTER CENTRAL,United States,N
Central Mongolia Airways,,CEM,CENTRAL MONGOLIA,Mongolia,N
Central Mountain Air,,GLR,GLACIER,Canada,N
Central Queensland Aviation College,,CQC,,Australia,N
Central Skyport,,CSI,SKYPORT,United States,N
Centralwings,C0,CLW,CENTRALWINGS,Poland,Y
Centre Airlines,,DTV,DUTCH VALLEY,United States,N
Centre of Applied Geodynamica,,CGS,GEO CENTRE,Russia,N
Centre-Avia,J7,CVC,AVIACENTRE,Russia,N
Centro De Helicopteros Corporativos,,CCV,HELICORPORATIVO,Mexico,N
Centro de Formacion Aeronautica de Canarias,,ACF,FORCAN,Spain,N
Centurion Air Cargo,WE,CWC,CHALLENGE CARGO,United States,N
Century Aviation,,URY,CENTURY AVIA,Mexico,N
Century Aviation International,,HAI,,Canada,N
Certified Air Dispatch,,XAD,,United States,N
Cetraca Aviation Service,,CER,CETRACA,Democratic Republic of the Congo,N
Chabahar Airlines,,IRU,CHABAHAR,Iran,N
Chalair Aviation,,CLG,CHALLAIR,France,N
Chalk's Ocean Airways,OP,CHK,CHALKS,United States,N
Challenge Air Transport,,CLS,AIRISTO,Germany,N
Challenge Aviation,,CHS,CHALLENGE AVIATION,Australia,N
Challenge International Airlines,,OFF,CHALLENGE AIR,United States,N
AC Challenge Aero,,CHG,SKY CHALLENGER,Ukraine,N
Champagne Airlines,,CPH,CHAMPAGNE,France,N
Champion Air,MG,CCP,CHAMPION AIR,United States,N
Chanchangi Airlines,,NCH,CHANCHANGI,Nigeria,N
Changan Airlines,2Z,CGN,CHANGAN,China,N
Channel Island Aviation,,CHN,CHANNEL,United States,N
Chantilly Air,,WML,MARLIN,United States,N
Chaparral Airlines,,CPL,CHAPARRAL,United States,N
Chari Aviation Services,S8,CSU,CHARI SERVICE,Chad,N
Charlan Air Charter,,CAH,CHARLAN,South Africa,N
Charlie Hammonds Flying Service,,HMD,HAMMOND,United States,N
Charlotte Air National Guard,,CGD,,United States,N
Charter Air,,CHW,CHARTER WIEN,Austria,Y
Chartright Air,,HRT,CHARTRIGHT,Canada,N
Chautauqua Airlines,RP,CHQ,CHAUTAUQUA,United States,Y
Cheboksary Airenterprise JSC,,CBB,CHEBAIR,Russia,N
Chemech Aviation,,CHM,,Pakistan,N
Cherline,,CHZ,CHERL,Russia,N
Chernomor-Avia,,CMK,CHERAVIA,Russia,N
Cherokee Express,,CBM,BLUE MAX,United States,N
Cherry Air,,CCY,CHERRY,United States,N
Chesapeake Air Service,,CAB,CHESAPEAKE AIR,United States,N
Chevron U.S.A,,CVR,CHEVRON,United States,N
Cheyenne Airways,,CYA,CHEYENNE AIR,United States,N
Chicago Air,,CGO,WILD ONION,United States,N
Chicago Express,C8,WDY,WINDY CITY,United States,N
Chief Rat Flight Services,,RAT,RIVERRAT,South Africa,N
Chilchota Taxi Aereo,,CCH,CHILCHOTA,Mexico,N
Chilcotin Caribou Aviation,,DES,CHILCOTIN,Canada,N
Chilliwack Aviation,,CAD,CHILLIWACKAIR,Canada,N
Chim-Nir Aviation,,ETN,CHMINIR,Israel,N
China Airlines,CI,CAL,DYNASTY,Taiwan,Y
China Cargo Airlines,CK,CKK,CARGO KING,China,N
China Eastern Airlines,MU,CES,CHINA EASTERN,China,Y
China Express Airlines,,HXA,CHINA EXPRESS,China,N
China Flying Dragon Aviation,,CFA,FEILONG,China,N
China General Aviation Corporation,,CTH,TONGHANG,China,N
China National Aviation Corporation,,CAG,CHINA NATIONAL,China,N
China Northern Airlines,CJ,CBF,CHINA NORTHERN,China,N
China Northwest Airlines,WH,CNW,CHINA NORTHWEST,China,N
China Ocean Helicopter Corporation,,CHC,CHINA HELICOPTER,China,N
China Postal Airlines,8Y,CYZ,CHINA POST,China,N
China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China,Y
China Southwest Airlines,,CXN,CHINA SOUTHWEST,China,N
China United Airlines,HR,CUA,LIANHANG,China,Y
China Xinhua Airlines,XO,CXH,XINHUA,China,N
Yunnan Airlines,3Q,CYH,YUNNAN,China,Y
Chinguetti Airlines,,CGU,CHINGUETTI,Mauritania,N
Chipola Aviation,,CEP,CHIPOLA,United States,N
Chippewa Air Commuter,,CPW,CHIPPEWA-AIR,United States,N
Chitaavia,X7,CHF,CHITA,Russia,N
Christman Air System,,CAS,CHRISTMAN,United States,N
Christophorus Flugrettungsverein,,OEC,CHRISTOPHORUS,Austria,N
Chrome Air Services,,CHO,CHROME AIR,United States,N
Church Aircraft,,CHU,CHURCHAIR,United States,N
Cielos Airlines,A2,CIU,CIELOS,Peru,N
Cimber Air,QI,CIM,CIMBER,Denmark,Y
Cirrus,,RRU,HELICIRRUS,Chile,N
Cirrus Air,,NTS,NITE STAR,United States,N
Cirrus Airlines,C9,RUS,CIRRUS AIR,Germany,Y
Cirrus Middle East,,JTI,,Lebanon,N
Citationshares,,FIV,FIVE STAR,United States,N
Citibank,,XCX,,United States,N
Citic General Aviation,,HZX,ZHONGXIN,China,N
City Airline,CF,SDR,SWEDESTAR,Sweden,Y
City Connexion Airlines,G3,CIX,CONNEXION,Burundi,Y
City of Bangor,,XBG,,United States,N
CityJet,WX,BCY,CITY-IRELAND,Ireland,Y
Cityair (Chester) Limited,,CAQ,AIR CHESTER,United Kingdom,N
Cityfly,,CII,CITYFLY,Italy,N
BA CityFlyer,CJ,CFE,FLYER,United Kingdom,Y
Cityline Hungary,,CNB,CITYHUN,Hungary,N
Citylink Airlines,,HSR,HOOSIER,United States,N
Civair Airways,,CIW,CIVFLIGHT,South Africa,N
Civil Air Patrol South Carolina Wing,,BKR,BOX KAR,United States,N
Civil Air Transport,CT,CAT,Mandarin,Taiwan,N
Civil Aviation Authority,,CIA,CALIMERA,Slovakia,N
Civil Aviation Authority of New Zealand,,CIV,CIVAIR,New Zealand,N
Civil Aviation Inspectorate of the Czech Republic,,CBA,CALIBRA,Czech Republic,N
Claessens International Limited,,FMC,CLAESSENS,United Kingdom,N
Clark Aviation,,CLK,CLARKAIR,United States,N
Clasair,,CSF,CALEDONIAN,United Kingdom,N
Clay Lacy Aviation,,CLY,CLAY-LACY,United States,N
Click Airways,,CGK,CLICK AIR,Kyrgyzstan,Y
Cloud 9 Air Charters,,CLZ,CLOUDLINE,South Africa,N
Clowes Estates Limited,,CLD,CLOWES,United Kingdom,N
Club 328,,SDJ,SPACEJET,United Kingdom,N
Club Air,6P,ISG,CLUBAIR,Italy,N
Coast Air,BX,CST,COAST CENTER,Norway,N
Coastal Air,DQ,,U.S. Virgin Islands,United States,Y
Coastal Air Transport,,TCL,TRANS COASTAL,United States,N
Coastal Airways,,CNG,SID-AIR,United States,N
Coastal Travels,,CSV,COASTAL TRAVEL,Tanzania,N
Cohlmia Aviation,,CHL,COHLMIA,United States,N
Colaereos,,OLR,COLAEREOS,Ecuador,N
Colemill Enterprises,,CLE,COLEMILL,United States,N
Colgan Air,9L,CJC,COLGAN,United States,Y
Colibri Aviation,,CAE,HUMMINGBIRD,Canada,N
Colt International,,CCX,,United States,N
Columbia Airlines,,COL,COLAIR,Canada,N
Columbia Helicopters,,WCO,COLUMBIA HELI,United States,N
Columbus Air Transport,,KLR,KAY-LER,United States,N
Colvin Aviation,,GHP,GRASSHOPPER EX,United States,N
Comair,OH,COM,COMAIR,United States,Y
Comair,MN,CAW,COMMERCIAL,South Africa,Y
Comed Group,,CDE,COMEX,United Kingdom,N
Comeravia,,CVV,COMERAVIA,Venezuela,N
Comercial Aerea,,CRS,COMERCIAL AEREA,Mexico,N
Comet Airlines,,CMG,SUNSPY,Nigeria,N
Comfort Air,,FYN,FLYNN,Germany,N
Comlux Aviation,,CLA,COMLUX,Switzerland,N
Commair Aviation,,CMH,COMMODORE,United Kingdom,N
Commandement Du Transport Aerien Militaire Francais,,CTM,COTAM,France,N
Commander Air Charter,,CML,COMMANDAIR,Canada,N
Commander Mexicana,,CRM,COMMANDERMEX,Mexico,N
Commercial Aviation,,CMS,ACCESS,Canada,N
Commodore Aviation,,GAR,,Australia,N
Commonwealth Jet Service,,CJS,COMMONWEALTH,United States,N
CommutAir,C5,UCA,COMMUTAIR,United States,Y
Comores Airlines,KR,CWK,CONTICOM,Comoros,Y
Compagnia Generale Ripreseaeree,,CGR,COMPRIP,Italy,N
Compagnie Aerienne du Mali,,CMM,CAMALI,Mali,N
Compagnie Mauritanienne Des Transports,,CPM,,Mauritania,N
Compagnie de Bauxites de Guinee,,GIC,CEBEGE,Guinea,N
Compania Aerea de Valencia,,AIF,,Spain,N
Compania Aerotecnicas Fotograficas,,ATF,AEROTECNICAS,Spain,N
Compania Boliviana de Transporte Aereo Privado Aerosur,,ASU, S.A.,ASUR,N
Compania De Actividades Y Servicios De Aviacion,,LCT,STELLAIR,Spain,N
Compania Ejecutiva,,EJV,EJECUTIVA,Mexico,N
Compania Helicopteros Del Sureste,,HSE,HELISURESTE,Spain,N
Compania Mexicana De Aeroplanos,,MDR,AEROPLANOS,Mexico,N
Compania Mexicargo,GJ,MXC,MEXICARGO,Mexico,N
Compania Transportes Aereos Del Sur,,HSS,TAS HELICOPTEROS,Spain,N
Compania de Servicios Aereos Tavisa,,TAV,TAVISA,Spain,N
Company Flight,,CYF,COMPANY FLIGHT,Denmark,N
Compass Airlines,CP,CPZ,Compass Rose,United States,Y
Compass International Airways,,CPS,COMPASS,United Kingdom,N
Compuflight Operations Service,,XCO,,United States,N
Compuserve Incorporated,,XCS,,United States,N
Conair Aviation,,CRC,CONAIR-CANADA,Canada,N
Concordavia,,COD,CONCORDAVIA,Ukraine,N
Condor Aero Services,,CNR,CONAERO,United States,N
Condor,,CIB,CONDOR BERLIN,Germany,N
Condor Flugdienst,DE,CFG,CONDOR,Germany,Y
Confort Air,,COF,CONFORT,Canada,N
Congo Air,,CAK,,Bahamas,N
Congressional Air,,CGA,CONGRESSIONAL,United States,N
Conifair Aviation,,ROY,,Canada,N
Connectair Charters,,BSN,BASTION,Canada,N
Conquest Airlines,,CAC,CONQUEST AIR,United States,N
Conroe Aviation Services,,CXO,CONROE AIR,United States,N
Consorcio Aviaxsa,6A,CHP,AVIACSA,Mexico,Y
Consorcio Helitec,,VCH,CONSORCIO HELITEC,Venezuela,N
Constanta Airline,,UZA,CONSTANTA,Ukraine,N
Contact Air,C3,KIS,CONTACTAIR,Germany,Y
Contel ASC,,XCL,,United States,N
Continental Airlines,CO,COA,CONTINENTAL,United States,Y
Continental Airways,PC,PVV,CONTAIR,Russia,N
Continental Express,CO,,JETLINK,United States,Y
Continental Micronesia,CS,CMI,AIR MIKE,United States,Y
Continental Oil,,CON,CONOCO,United States,N
Conviasa,V0,VCV,CONVIASA,Venezuela,Y
Cook Inlet Aviation,,CKA,COOK-AIR,United States,N
Cooper Aerial Surveys,,SVY,SURVEYOR,United Kingdom,N
Copa Airlines,CM,CMP,COPA,Panama,Y
Copenhagen Airtaxi,,CAT,AIRCAT,Denmark,N
Copper State Air Service,,COP,COPPER STATE,United States,N
Copterline,,AAQ,COPTERLINE,Finland,Y
Coptrade Air Transport,,CCW,COPTRADE AIR,Sudan,N
Corendon Airlines,,CAI,CORENDON,Turkey,Y
Coronado Aerolineas,,CRA,CORAL,Colombia,N
Corpac Canada,,CPB,PENTA,Canada,N
Corporacion Aereo Cencor,,CNC,CENCOR,Mexico,N
Corporacion Aeroangeles,,CPG,CORPORANG,Mexico,N
Corporacion Paraguaya De Aeronautica,,CGY,,Paraguay,N
Corporate Air,,CPT,AIR SPUR,United States,N
Corporate Air,,CPR,CORPAIR,United States,N
Corporate Aircraft Company,,CPO,MOKAN,United States,N
Corporate Airlink,,COO,CORPORATE,Canada,N
Corporate Aviation Services,,CKE,CHECKMATE,United States,N
Corporate Flight International,,VHT,VEGAS HEAT,United States,N
Corporate Flight Management,,VTE,VOLUNTEER,United States,N
Corporate Jets,,CJI,SEA JET,United States,N
Corsairfly,SS,CRL,CORSAIR,France,Y
Corse-Mediterranee,XK,CCM,CORSICA,France,Y
Cosmic Air,F5,COZ,COSMIC AIR,Nepal,N
Cougar Helicopters,,CHI,COUGAR,Canada,N
Coulson Flying Service,,MGB,MOCKINGBIRD,United Kingdom,N
Country Connection Airlines,,NSW,,Australia,N
Country International Airlines,,CIK,COUNTRY AIR,Kyrgyzstan,N
Courier Services,,CSD,DELIVERY,United States,N
Court Helicopters,,CUT,COURT AIR,South Africa,N
Coval Air,,CVL,COVAL,Canada,N
Cowi,,COW,COWI,Netherlands,N
Coyne Aviation,,COY,COYNE AIR,United Kingdom,N
Cranfield University,,CFD,AERONAUT,United Kingdom,N
Cree Airways,,CRE,CREE AIR,Canada,N
Crelam,,ELM,CRELAM,Mexico,N
Crest Aviation,,CAN,CREST,United Kingdom,Y
Crimea Universal Avia,,KRM,TRANS UNIVERSAL,Ukraine,N
Croatia Airlines,OU,CTN,CROATIA,Croatia,Y
Croatian Air Force,,HRZ,CROATIAN AIRFORCE,Croatia,N
Cross Aviation,,CRX,CROSSAIR,United Kingdom,N
Crossair Europe,QE,ECC,Cigogne,Switzerland,N
Crow Executive Air,,CWX,CROW EXPRESS,United States,N
Crown Air Systems,,CKR,CROWN AIR,United States,N
Crown Airways,,CRO,CROWN AIRWAYS,United States,Y
Crownair,,CRW,REGAL,Canada,N
Cruiser Linhas Aereas,,VCR,VOE CRUISER,Brazil,N
Cryderman Air Service,,CTY,CENTURY,United States,N
Crystal Shamrock,,CYT,CRYSTAL-AIR,United States,N
Cubana de Aviación,CU,CUB,CUBANA,Cuba,Y
Cumberland Airways (Nicholson Air Service),,CBL,CUMBERLAND,United States,N
Custom Air Transport,,CTT,CATT,United States,N
Cygnus Air,,RGN,CYGNUS AIR,Spain,N
Cyprair Tours,,CYC,CYPRAIR,Cyprus,N
Cypress Airlines,,CYS,SKYBIRD,Canada,N
Cyprus Airways,CY,CYP,CYPRUS,Cyprus,Y
Cyprus Turkish Airlines,YK,,,Turkey,Y
Czech Air Force,,CEF,CZECH AIR FORCE,Czech Republic,N
Czech Air Handling,,AHD,AIRHANDLING,Czech Republic,N
Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,Y
Czech Government Flying Service,,CIE,CZECHIA,Czech Republic,N
D & D Aviation,,DDA,DUSTY,United States,N
D&K Aviation,,DNK,DIRECT JET,United States,N
DAP Helicopteros,,DHE,HELIDAP,Chile,N
DFS UK Limited,,VLF,VOLANTE,United Kingdom,N
DAS Air Cargo,WD,DSR,DAIRAIR,Uganda,N
DAS Airlines,,RKC,DAS CONGO,Democratic Republic of the Congo,N
DAT Danish Air Transport,DX,DTR,DANISH,Denmark,Y
DAT Enterprise Limited,,ENT,DATENT,United Kingdom,N
DERA Boscombe Down,,BDN,GAUNTLET,United Kingdom,N
DESNA,,DSN,DESNA,Ukraine,N
DETA Air,,DET,SAMAL,Kazakhstan,N
DGO Jet,,DGO,DGO JET,Mexico,N
DHL Aero Expreso,,DAE,YELLOW,Panama,N
DHL Air,,DHK,WORLD EXPRESS,United Kingdom,N
DHL Aviation,,DHV,WORLDSTAR,South Africa,N
DHL International,ES,DHX,DILMUN,Bahrain,N
DHL de Guatemala,L3,JOS,,Guatemala,N
DSWA,,RSK,REDSKIN,United States,N
Daallo Airlines,D3,DAO,DALO AIRLINES,Djibouti,Y
Dagestan Airlines,N2,DAG,DAGAL,Russia,N
Dahla Airlines,,DHA,,Democratic Republic of Congo,N
Daimler Chrysler Aviation,,DCS,TWIN STAR,Germany,N
Daimler-Chrysler,,DCX,DAIMLER,United States,N
Daka,,DKA,,Kazakhstan,N
Dala Air Services,,DLR,DALA AIR,Nigeria,N
Dalavia,H8,KHB,DALAVIA,Russia,Y
Dallas Express Airlines,,DXP,DALLAS EXPRESS,United States,N
Damascene Airways,,DAS,AIRDAM,Syrian Arab Republic,N
Danbury Airways,,DSA,DANBURY AIRWAYS,United States,N
Dancopter,,DOP,DANCOPTER,Denmark,N
Danish Air Force,,DAF,DANISH AIRFORCE,Denmark,N
Danish Army,,DAR,DANISH ARMY,Denmark,N
Danish Navy,,DNY,DANISH NAVY,Denmark,N
Danu Oro Transportas,,DNU,DANU,Lithuania,N
Darta,,DRT,DARTA,France,N
Darwin Airline,0D,DWT,DARWIN,Switzerland,Y
Dasab Airlines,,DSQ,DASAB AIR,Uganda,N
Dash Air Charter,,DSH,DASH CHARTER,United States,N
Dash Aviation,,GOB,PILGRIM,United Kingdom,N
Dasnair,,DGX,DASNA,Switzerland,N
Dassault Aviation,,DAB,,France,N
Dassault Falcon Jet Corporation,,CVF,CLOVERLEAF,United States,N
Dassault Falcon Service,,DSO,DASSAULT,France,N
Data International,,DTN,DATA AIR,Sudan,N
Date Transformation Corp,,XDT,,United States,N
Dauair,D5,DAU,DAUAIR,Germany,N
David Crawshaw Consultants Limited,,DCO,,United Kingdom,N
Dawn Air,,DWN,DAWN AIR,United States,N
DayJet,,DJS,DAYJET,United States,N
Daya Aviation,,DAY,DAYA,Sri Lanka,N
De Havilland,,DHC,DEHAVILLAND,Canada,N
Deadalos Flugtbetriebs,,IAY,IASON,Austria,N
Decatur Aviation,,DAA,DECUR,United States,N
Deccan Aviation,,DKN,DECCAN,India,N
Deccan Aviation (Lanka),,DLK,DEKKANLANKA,Sri Lanka,N
Deer Jet,,DER,DEER JET,China,N
Deere and Company,,JDC,JOHN DEERE,United States,N
Delaware Skyways,,DWR,DELAWARE,United States,N
Delta Aerotaxi,,DEA,JET SERVICE,Italy,Y
Delta Air Charter,,SNO,SNOWBALL,Canada,N
Delta Air Elite,,ELJ,ELITE JET,United States,N
Delta Air Lines,DL,DAL,DELTA,United States,Y
Delta Engineering Aviation,,KMB,KEMBLEJET,United Kingdom,N
Delta Express International,,DLI,DELTA EXPRESS,Ukraine,N
Delta State University,,DSU,DELTA STATE,United States,N
Denim Air,,DNM,DENIM,Netherlands,Y
Denver Express,,FEC,FALCON EXPRESS,United States,N
Denver Jet,,DJT,DENVER JET,United States,N
Departmento De Agricultura De La Generalitat De Cataluna,,FGC,FORESTALES,Spain,N
Deraya Air Taxi,,DRY,DERAYA,Indonesia,N
Des R Cargo Express,,DRX,,Mauritania,N
Desarrollo Milaz,,MIZ,MILAZ,Mexico,N
Destiny Air Services,,DTY,DESTINY,Sierra Leone,N
Deutsche Bahn,2A,,,Germany,Y
Deutsche Rettungsflugwacht,1I,AMB,CIVIL AIR AMBULANCE,Germany,N
Deutsches Zentrum fur Luft-und Raumfahrt EV,,LFO,LUFO,Germany,N
Di Air,,DIS,DI AIR,Serbia,N
Diamond Aviation,,SPK,SPARKLE,United States,N
Didier Rousset Buy,,DRB,DIDIER,Chile,N
Digital Equipment Corporation,,DGT,DIGITAL,United States,N
Dinar,D7,RDN,AERO DINAR,Argentina,N
Diplomatic Freight Services,,DIP,DIPFREIGHT,United Kingdom,N
Direccion General de Aviacion Civil y Telecomunicasciones,,ENA,ENA,Spain,N
Direct Air,,DIA,BLUE SKY,United States,N
Direct Air trading as Midway Connection,,XAP,MID-TOWN,United States,N
Direct Flight,,DCT,,United Kingdom,N
Sky Express,,SXP,EXPRESS SKY,Poland,N
Dirgantara Air Service,AW,DIR,DIRGANTARA,Indonesia,N
Discover Air,,DCV,DISCOVER,United States,N
Discovery Airways,DH,DVA,DISCOVERY AIRWAYS,United States,N
Dispatch Services,,XDS,,United States,N
Dix Aviation,,DIX,DIX FLIGHT,Germany,N
Dixie Airways,,DEE,TACAIR,United States,N
Djibouti Airlines,D8,DJB,DJIBOUTI AIR,Djibouti,Y
Dniproavia,,UDN,DNIEPRO,Ukraine,Y
Flying Dolphin Airlines,,FDN,FLYING DOLPHIN,United Arab Emirates,N
Dolphin Express Airlines,,IXX,ISLAND EXPRESS,United States,N
Dome Petroleum,,DPL,DOME,Canada,N
Dominguez Toledo (Grupo Mayoral),,MYO,MAYORAL,Spain,N
Dominicana de Aviaci,DO,DOA,DOMINICANA,Dominican Republic,Y
Domodedovo Airlines,E3,DMO,DOMODEDOVO,Russia,Y
Don Avia,,DVB,DONSEBAI,Kazakhstan,N
Donair Flying Club,,DON,DONAIR,United Kingdom,N
DonbassAero,5D,UDC,DONBASS AERO,Ukraine,Y
Dorado Air,,DAD,DORADO AIR,Dominican Republic,N
Dornier,,DOR,DORNIER,Germany,N
Dornier Aviation Nigeria,,DAV,DANA AIR,Nigeria,N
Dos Mundos,,DOM,DOS MUNDOS,Dominican Republic,N
Dragonair,KA,HDA, Hong Kong Dragon Airlines,DRAGON,Y
Dreamcatcher Airways,,DCA,DREAM CATCHER,United Kingdom,N
Druk Air,KB,DRK,ROYAL BHUTAN,Bhutan,Y
Drummond Island Air,,DRE,MICHIGAN,United States,N
Dubai Airwing,,DUB,DUBAI,United Arab Emirates,N
Dubrovnik Air,,DBK,SEAGULL,Croatia,Y
Ducair,,DUK,LION KING,Luxembourg,N
Duchess of Britany (Jersey) Limited,,DBJ,DUCHESS,United Kingdom,N
UK Royal/HRH Duke of York,,LPD,LEOPARD,United Kingdom,N
Dun'Air,,DUN,DUNAIR,Mauritania,N
Duncan Aviation,,PHD,PANHANDLE,United States,N
Dunyaya Bakis Hava Tasimaciligi,,VVF,WORLDFOCUS,Turkey,N
Duo Airways,,DUO,FLY DUO,United Kingdom,N
Durango Jet,,DJE,DURANGO JET,Mexico,N
Dutch Antilles Express,,DNL,DUTCH ANTILLES,Netherlands Antilles,Y
Dutch Caribbean Express,,DCE,DUTCH CARIBBEAN,Netherlands Antilles,N
Dutchbird,,DBR,DUTCHBIRD,Netherlands,N
Dwyer Aircraft Services,,DFS,DWYAIR,United States,N
Dynair Services,,XDY,,United States,N
Dynamair Aviation,,DNR,DYNAMAIR,Canada,N
Dynamic Air,,DYE,DYNAMIC,Netherlands,N
dba,DI,BAG,SPEEDWAY,Germany,Y
E H Darby Aviation,,EHD,PLATINUM AIR,United States,N
Electronic Data Systems,1C,,,Switzerland,N
Electronic Data Systems,,1Y,,,N
EAA Escola De Aviacao Aerocondor,,EAD,AERO-ESCOLA,Portugal,N
Executive Airlines Services,,EXW,ECHOLINE,Nigeria,N
EFAOS- Agencia De Viagens e Turismo,,EFS,EFAOS,Angola,N
EFD Eisele Flugdienst,,EFD,EVER FLIGHT,Germany,N
EFS-Flugservice,,FSD,FLUGSERVICE,Germany,N
EIS Aircraft,,EIS,COOL,Germany,N
EPAG Groupe Air France,,IAG,EPAG,France,N
ESI Eliservizi Italiani,,ESI,ELISERVIZI,Italy,N
EU Airways,,EUY,EUROAIRWAYS,Ireland,N
EUjet,VE,EUJ,UNION JET,Ireland,N
EVA Air,BR,EVA,EVA,Taiwan,Y
Eagle Aero,,ICR,ICARUS FLIGHTS,United States,N
Eagle Air,,EGR,EAGLE SIERRA,Sierra Leone,N
Eagle Air,H7,,,Uganda,Y
Eagle Air Company,,EGX,THAI EAGLE,Thailand,N
Eagle Air Iceland,,FEI,ARCTIC EAGLE,Iceland,N
Eagle Aviation,,EGU,AFRICAN EAGLE,Uganda,N
Eagle Aviation,,GYP,GYPSY,United Kingdom,N
Eagle Aviation France,,EGN,FRENCH EAGLE,France,N
Eagle International,,SEG,SEN-EAGLE,Senegal,N
Eagle Jet Charter,,EGJ,EAGLE JET,United States,N
Eaglemed (Ballard Aviation),,EMD,EAGLEMED,United States,N
Earth Airlines Services,,ERX,EARTH AIR,Nigeria,N
East African,QU,UGX,CRANE,Uganda,Y
East African Safari Air,S9,HSA,DUMA,Kenya,N
East African Safari Air Express,,EXZ,TWIGA,Kenya,N
East Asia Airlines,,EMU,,Macao,N
East Coast Airways,,ECT,EASTWAY,South Africa,N
East Coast Jets,,ECJ,EASTCOAST JET,United States,N
East Hampton Aire,,EHA,AIRE HAMPTON,United States,N
East Kansas City Aviation,,EKC,BLUE GOOSE,United States,N
East Midlands Helicopters,,CTK,COSTOCK,United Kingdom,N
East Star Airlines,,DXH,EAST STAR,China,N
East-West Airlines,,EWA,EASTWEST,Australia,N
Eastern Air,,EAZ,EASAIR,Zambia,N
Eastern Air Executive,,EAX,EASTEX,United Kingdom,N
Eastern Airways,T3,EZE,EASTFLIGHT,United Kingdom,Y
Eastern Australia Airlines,,EAQ,,Australia,N
Eastern Carolina Aviation,,ECI,EASTERN CAROLINA,United States,N
Eastern Executive Air Charter,,GNS,GENESIS,United Kingdom,N
Eastern Express,,LIS,LARISA,Kazakhstan,N
Eastern Metro Express,,EME,EMAIR,United States,N
Eastern Pacific Aviation,,EPB,EAST PAC,Canada,N
Eastern Sky Jets,,ESJ,EASTERN SKYJETS,United Arab Emirates,N
Eastland Air,DK,ELA,,Australia,Y
